file,title,author,date,type,chars,paragraphs,median_para,short_ratio,max_short_run,sections,images,read,like,share,fav,comment,interaction_score,train_holdout,source_stratum,url
20210506_OPPO发布K系列入门产品，手机和电视尝试搭配销售.md,OPPO发布K系列入门产品，手机和电视尝试搭配销售,邱晓芬,2021-05-06,综合商业观察,794,20,26.5,0.4,4,0,8,,,,,,,training,routine,https://mp.weixin.qq.com/s/3uTFYvPm22jaVArsuPw51w
"20210506_主打卤味火锅外卖,「京派鲜卤」完成百万元级天使轮融资丨早起看早期.md","主打卤味火锅外卖,「京派鲜卤」完成百万元级天使轮融资丨早起看早期",Zhudy 章婷,2021-05-06,早起看早期/融资稿,856,18,40.0,0.4444444444444444,6,0,5,,,,,,,training,routine,https://mp.weixin.qq.com/s/Q7oZTuQ1oXrj9AapPw-wOw
20210506_日产11.49亿欧元清空戴姆勒股票，套现攻克电动汽车.md,日产11.49亿欧元清空戴姆勒股票，套现攻克电动汽车,王林,2021-05-06,综合商业观察,505,13,21,0.46153846153846156,4,0,7,,,,,,,training,routine,https://mp.weixin.qq.com/s/8abRXD0-7-Xod-pMig_Qrg
20210507_美联储警告SPAC和散户抱团，称股市可能不堪一击.md,美联储警告SPAC和散户抱团，称股市可能不堪一击,谢芸子,2021-05-07,综合商业观察,787,16,49.5,0.3125,2,0,7,,,,,,,training,routine,https://mp.weixin.qq.com/s/ahlRUHOnKToc2p3wNeSnyQ
20210508_上海赣锋放大招，拟17.1亿元收购全球最大锂资源项目.md,上海赣锋放大招，拟17.1亿元收购全球最大锂资源项目,谢芸子,2021-05-08,综合商业观察,667,15,50,0.3333333333333333,3,0,7,,,,,,,training,routine,https://mp.weixin.qq.com/s/0u0QPR-Re4JgqaPJwRjfMQ
20210510_电子烟新规即将「靴子落地」，小型品牌将被淘汰？.md,电子烟新规即将「靴子落地」，小型品牌将被淘汰？,王林,2021-05-10,综合商业观察,561,13,33,0.46153846153846156,4,0,6,,,,,,,training,routine,https://mp.weixin.qq.com/s/GPRELDX5OXaW7wTzzZodAA
20210511_冲刺「辣条第一股」，卫龙完成高瓴等领投的Pre-IPO融资.md,冲刺「辣条第一股」，卫龙完成高瓴等领投的Pre-IPO融资,王林,2021-05-11,IPO/资本市场,571,14,36.0,0.42857142857142855,4,0,6,,,,,,,training,routine,https://mp.weixin.qq.com/s/7mX6zsoCQ8rGH_qdn-D6Dw
20210511_碳管理SaaS企业碳阻迹获5000万元A轮融资，高瓴领投，经纬中国跟投丨早起看早期.md,碳管理SaaS企业碳阻迹获5000万元A轮融资，高瓴领投，经纬中国跟投丨早起看早期,Lin  石亚琼,2021-05-11,早起看早期/融资稿,2119,36,45.5,0.3055555555555556,6,0,8,,,,,,,training,routine,https://mp.weixin.qq.com/s/tnF03fqzG9aw02p1gY_24Q
20210513_各位影视公司老板，答应我，不要再盲目挤「黄金档」了.md,各位影视公司老板，答应我，不要再盲目挤「黄金档」了,王毓婵 张信宇,2021-05-13,综合商业观察,2343,41,58,0.2926829268292683,4,0,14,,,,,,,training,routine,https://mp.weixin.qq.com/s/zOM4n8Ud9b3uXzrgc74j7g
20210513_海豚音乐vipSing再完成数千万元Pre-A轮融资，拟推出适合早教阶段的新型AI课丨早起看早期.md,海豚音乐vipSing再完成数千万元Pre-A轮融资，拟推出适合早教阶段的新型AI课丨早起看早期,彭孝秋,2021-05-13,早起看早期/融资稿,883,18,26.0,0.5,6,0,6,,,,,,,training,routine,https://mp.weixin.qq.com/s/7QvlK_utYqqjrP4OE9QC8w
